LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
22/01951/FULL,London Borough of Barking and Dagenham,09/12/2022,Approved,All Other,"Demolition of existing outbuilding and construction of a two storey 2x bedroom dwelling with associated cycle storage, bin storage and amenities adjacent to 51 Hollidge Way",,51,HOLLIDGE WAY,,RM10 9SL,,,,,1,0,1,,,Approved,01/03/2023,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=31418
2022/0643,Wandsworth,01/03/2022,Approved,All Other,Alterations including erection of single-storey rear extension and excavations to enlarge existing basement to facilitate the formation of 1 x 2-bedroom flat with cycle and refuse storage and amenity space to part of rear alleyway. Part change of use of commercial unit (Class E) to residenrtial (Class C3).,,176,Battersea Park Road,London,SW11 4ND,,,,,1,0,1,,,Approved,19/08/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/0643
22/4333/FUL,London Borough of Barnet,25/08/2022,Approved,All Other,"Change of use from office (Class E) to residential (Class C3) 1 unit, with external alterations including a new pitched roof. Associated cycle/refuse and recycling storage.",,44B,The Broadway,Mill Hill,NW7 3LH,,,,,1,0,1,,,Approved,18/10/2022,,,
22/03951/LBC,Westminster,16/06/2022,Approved,All Other,Internal alterations including change to partitions and installation of secondary and installation of 3 air conditioning units at roof level in connection with the use of second and third floors as office (Class E) (Linked with 22/03950/FULL),,23,Neal Street,,WC2H 9PU,,,,,0,6,-6,,,Approved,23/12/2022,,,
21/1369/FUL,Richmond upon Thames,28/04/2021,Approved,All Other,Demolition of existing dwelling and replacement within a pair of semi-detached dwellings.,,62,Derby Road,East Sheen,SW14 7DP,,,,,2,1,1,,,Approved,12/07/2022,,,
22/03987/FULL,Westminster,12/07/2022,Approved,All Other,"Conversion of ground floor garage to habitable accommodation and erection of mansard extension for use in connection with the existing first floor flat (Unit 8); and extension to the rear first floor to existing flat, Unit 2 [Site includes rear of 25-27 Catherine Place].",,6,Buckingham Mews,,SW1E 6NR,,,,,2,2,0,,,Approved,12/12/2022,,,
22/1117/FUL,London Borough of Barnet,02/03/2022,Approved,All Other,"Phased demolition of the existing bungalow and detached garage and erection of 2no two storey dwellinghouses with rooms in the roofspace. Associated amenity space, refuse/recycling store, off-street parking and cycle storage",,3,Cavendish Road,,EN5 4ED,,,,,2,1,1,,,Approved,10/06/2022,,,
2022/2643,Wandsworth,21/07/2022,Approved,All Other,Alterations in connection with change of use from single family dwellinghouse (C3) to 5 bedroom House of Multiple Occupation (C4).,,32,Glycena Road,London,SW11 5TR,,,,,0,1,-1,,,Approved,15/09/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/2643
213190,Waltham Forest,12/10/2021,Approved,All Other,"Demolition of an existing garage and sub-division of the land rear of No.55. Construction of a two storey building to provide a 3 bedroom dwelling house with associated landscaping, boundary treatment and cycle/bin storage.","55 Seymour Road, Chingford, London, E4 7LR",55,,,,,,,,2,0,2,,,Approved,20/06/2022,,,
2022/1177,Wandsworth,21/03/2022,Approved,All Other,Part demolition of existing dwelling with retention of front facade and side walls and erection of replacement to the rear with a two-storey (plus roof and basement) 4-bedroom dwellinghouse.,,27,Wakehurst Road,London,SW11 6DB,,,,,1,1,0,,,Approved,27/05/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/1177
