LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
23/02532/COU,London Borough of Newham,26/11/2023,Approved,All Other,Change of use of ground floor flat and first floor flat from residential (use C3) to residential institution (use C2) to provide 2x children's assisted living units.,148 Portway Stratford London Newham E15 3QW,,Portway,,E15 3QW,,,,,0,2,-2,,,Approved,15/02/2024,,,
21/1094/FUL,London Borough of Barnet,02/03/2021,Approved,All Other,Erection of a single storey dwelling with basement level. Associated refuse/recycling and cycle store,Rear Of 147 Cricklewood LaneLondonNW2 2EL,,,,,,,,,2,0,2,,,Approved,20/10/2023,,,
15604/APP/2020/283,Hillingdon,27/01/2020,Approved,All Other,"Erection of 2 x 3 bedroom houses, construction of a 27 space public car park, widening and improvements of the existing access road, improvements to the existing access to Cranford Park, provision of a new children's play area and all associated external works (involving the demolition of the existing single storey building and removal of all storage units) (Amendments to access arrangements)",FORMER SEA CADETS SITE,,WATERSPLASH LANE,,UB3 4QS,,,,,2,0,2,,,Approved,01/09/2023,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=15604/APP/2020/283
2022/00043/FUL,London Borough of Hammersmith and Fulham,10/01/2022,Allowed,All Other,"Erection of an additional storey to the existing building at main roof level, in connection with the creation of 9no. self-contained residential units consisting of 6no. one bedroom flats and 3no. two bedroom flats.",The Piper Centre,50,Carnwath Road,,SW6 3EG,,,,,10,0,10,,,Refused,06/05/2022,,,
22/1486/FUL,Richmond upon Thames,10/06/2022,Approved,All Other,"Demolition of garage block and redevelopment of the site for two three storey four bed townhouses (Class C3) with associated amenity space, car and cycle parking and refuse stores",Garages Adjacent 11,,Ferrymoor,,,,,,,2,0,2,,,Approved,20/09/2023,,,
23/03957/FUL,Enfield Council,07/12/2023,Approved,All Other,Erection of rear annex ancillary to existing dwelling.,,36,Central Avenue,,EN1 3QD,,,,,1,0,1,,,Approved,01/02/2024,,,
2023/3482/P,Camden,24/10/2023,Approved,All Other,"Enlargement of 2nd floor 1bed flat, to 3bed flat. Works include; creation of new mansard level at 3rd floor, with terrace to rear and 2 dormer windows to front.",Flat 8,78,Fairhazel Gardens,London,NW6 3SR,,,,,1,1,0,,,Approved,25/03/2024,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2023/3482/P
P/0920/23,Harrow,24/03/2023,Approved,All Other,Conversion of dwelling into two dwellinghouses (1 X 3 bed and 1 X 2 bed); separate amenity space; landscaping; bin and cycle stores,,2,Nolton Place,Edgware,HA8 6DL,,18/05/2023,,,2,1,1,,,Approved,18/05/2023,,,http://site.com?appref=P/0920/23-or-1248348
P2023/3311/PRA,Islington,15/11/2023,Approved,All Other,Notification of Prior Approval for the change of use of vacant office space to provide one 4 bedroom single dwellinghouse.,Ground Floor,23,Angel Gate,LONDON,EC1V 2PT,,,,,1,0,1,,,Approved,09/01/2024,,,
23/01490/FULL,London Borough of Barking and Dagenham,26/09/2023,Approved,All Other,"Construction of a two storey detached building to provide 2 self-contained flats (2x 1 bedroom) with associated amenity space, cycle and bin stores",Land To The Rear Of 68,,HIGH ROAD,,RM6 6PP,,,,,2,0,2,,,Approved,21/11/2023,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=33012
23/03832/FUL,Enfield Council,11/12/2023,Approved,All Other,"Change of use from ground floor dental surgery (Class E) to 2-bedroom flat (Class C3) involving demolition and construction of single storey rear extension, new amenity space and hardstanding for vehicular access.",,2,Mottingham Road,,N9 8DY,,,,,1,0,1,,,Approved,05/02/2024,,,
231445FUL,Ealing,19/05/2023,Approved,All Other,Conversion of existing flat at first and second floors into two self-contained flats,171A Uxbridge Road,,Uxbridge Road,London,W7 3TH,,,,,2,1,1,,,Approved,13/07/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/231445FUL;
P/2572/23,Harrow,07/09/2023,Approved,All Other,Creation of 9 residential units in roofspace (1 X 2 bed and 8 X studios); dormers to front rear and both side roofslopes; extensions to the stair cores to the rear; external alterations; cycle storage,Perwell Court,,Alexandra Avenue,Harrow,,,,,,9,0,9,,,Approved,30/11/2023,,,http://site.com?appref=P/2572/23-or-1270704
23/0055/FUL,London Borough of Barnet,10/01/2023,Approved,All Other,"Conversion and alteration of existing building including a two storey rear extension and construction of an additional two floors above to provide a mixed-use development comprising commercial floorspace at ground and basement levels (Use Class E) with 6 residential units above (Use Class C3), including car parking, cycle provision, refuse and recycling storage",,"202, 208",Regents Park Road,Finchley,N3 3HP,,,,,6,0,6,,,Approved,31/07/2023,,,
222796,Waltham Forest,27/09/2022,Approved,All Other,Subdivision of site and construction of a two storey dwellinghouse (1x2-bed) (Use Class C3) together with a single storey rear garden outbuilding (including bicycle storage provision) and refuse/recycling storage within the front garden. Construction of a new outbuilding within the rear garden of existing dwelling (Use Class C3) including bicycle storage provision.,"166 Shernhall Street, Walthamstow, London, E17 9HZ",166,,,,,,,,1,0,1,,,Approved,24/10/2023,,,
23/04450/FULL,Westminster,28/07/2023,Approved,All Other,"Use of the ground floor as one 1-bedroom flat and first, second and third floor levels as one 3-bedroom maisonette.",,108,Denbigh Street,,SW1V 2EX,,,,,2,1,1,,,Approved,11/10/2023,,,
DM2023/00666,London Borough of Sutton,08/06/2023,Approved,All Other,Conversion of property at first and second floors into 2 self contained flats and provision of detached cycle and refuse stores.,The Parade,9A,Beynon Road,,SM5 3RL,,,,,2,0,2,,,Approved,10/01/2024,,,
22/2418/FUL,London Borough of Barnet,09/05/2022,Approved,All Other,"Demolition of existing 2 storey dwelling house and replacement with 3 storey building plus basement to provide 3no self-contained flats with associated landscaping, external amenity and bin and bike stores.",,120,Granville Road,Childs Hill,NW2 2LD,,,,,3,1,2,,,Approved,02/10/2023,,,
23/01431/FULL,London Borough of Barking and Dagenham,18/09/2023,Approved,All Other,"Construction of a single storey rear extension&nbsp;and installation of&nbsp;bin storage and bike storage to the front of the property, space for one car, changes to the fenestration and change of use from a single dwellinghouse&nbsp;into two self-contained units",,229,WESTROW DRIVE,,IG11 9BS,,,,,2,0,2,,,Approved,11/01/2024,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=32974
23/1400/GPD26,Richmond upon Thames,24/05/2023,Approved,Prior Approval,The part change of use of the ground floor of the building from commercial premises (Use Class E) to two residential apartments (Use Class C3).,,"112, 114",High Street,,,,,,,2,0,2,,,Approved,17/07/2023,,,
23/3049/FUL,London Borough of Barnet,17/07/2023,Approved,All Other,"Conversion of the existing dwelling into 3no. self-contained flats including addition of 2no. rear facing rooflights. Associated refuse/recycling, parking and amenity space",,13,Woodside Park Road,North Finchley,N12 8RT,,,,,3,1,2,,,Approved,04/09/2023,,,
231861FUL,Ealing,12/05/2023,Approved,All Other,"Conversion of existing building containing 2 flats into 3no. flats; ground floor side/rear extension; first floor side/rear extension; second floor side/rear extension; formation of a new entrance on east (side) elevation; associated parking spacing for 2no. vehicles, refuse storage, cycle storage.",32 Denmark Road,,Denmark Road,London,W13 8RG,,,,,2,0,2,,,Approved,10/07/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/231861FUL;
23/0684/FUL,London Borough of Barnet,20/02/2023,Approved,All Other,Conversion of the existing ground floor flat into 2no. self-contained flats,Ground Floor Flat164 Park RoadLondonNW4 3TL,,,,,,,,,2,1,1,,,Approved,26/04/2023,,,
23/1498/PNE,London Borough of Barnet,05/05/2023,Approved,All Other,"Change of use of ground floor from Commercial, Business and Service (Use Class E) to 1no dwellinghouse (Class C3) Associated cycle parking",Sunny Gardens Parade,4,Sunny Gardens Road,Hendon,NW4 1JA,,,,,1,0,1,,,Approved,30/06/2023,,,
23/01498/FUL,London Borough of Croydon,18/04/2023,Approved,All Other,"Alterations and erection of single/two storey rear extension, rear roof dormer with balconies, installation of roof lights, conversion of first floor to create 1 x 2 bedroom flat, 1 x studio flat (Use Class C3) and increased commercial floorspace (Use Class E) associated cycle and refuse storage.",,820,Wickham Road,,CR0 8EB,,,,,2,0,2,,,Approved,10/07/2023,,,
23/03450/FUL,Enfield Council,24/11/2023,Approved,All Other,"Creation of mansard roof to provide 2 self contained flats together with front, rear and side dormers and rooflights and rear balconies.",1-12 St Onge ParadeSouthbury RoadEnfieldEN1 1YU,,,,,,,,,2,0,2,,,Approved,20/02/2024,,,
2023/4401,Wandsworth,23/11/2023,Approved,All Other,"Demolition of existing garages and erection of 2-storey building to provide 3 x 1-bedroom and 3 x 2-bedroom flats with associated car and cycle parking, refuse storage and landscaping.",Garages To The South East Of 63 To 75,,Skeena Hill,London,SW18 5PW,,,,,6,0,6,,,Approved,26/02/2024,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2023/4401
2586/22,Redbridge,12/01/2023,Approved,All Other,"Erection of two storey dwellinghouse with associated amenity space, car parking and waste storage. Alterations to roof on 75 Mayesbrook Road. (Summary)",Development At 75 77 And Land Adjoining 75,,Mayesbrook Road,Goodmayes,,,,,,1,0,1,,,Approved,06/04/2023,,,
232955FUL,Ealing,20/07/2023,Approved,All Other,"Construction of a two storey building, with habitable loft space and basement level, to accommodate 7 self-contained flats and provision of associated amenity space, cycle storage and refuse storage. (Following demolition of existing building)",85 Gunnersbury Avenue,,Gunnersbury Avenue,London,W5 4LR,,,,,7,1,6,,,Approved,02/04/2024,,,https://pam.ealing.gov.uk/online-applications/PLAN/232955FUL;
221157,Waltham Forest,04/05/2022,Approved,All Other,"Construction of a ground and first floor rear extension including rear first floor terrace and access staircase (with metal handrails), rear dormer roof extension, installation of two roof-lights to the existing rear outrigger and provision of cycle parking, bin storage and hard/soft landscaping to facilitate conversion of the two existing flats (1 x studio and 1 x 4-bed) to four self-contained flats (2 x 1-bed and 2 x studio) (Use class C3) .","730 High Road Leytonstone, Leytonstone, London, E11 3AJ",730,,,,,,,,4,2,2,,,Approved,13/07/2023,,,
24/00251/FUL,Enfield Council,06/02/2024,Approved,All Other,Change of use from Use Class C3 (dwelling) to Use Class C4 (house in multiple occupation).,,61,Osward Place,,N9 7EF,,,,,1,1,0,,,Approved,28/03/2024,,,
2022/5270,Wandsworth,30/12/2022,Approved,All Other,"Demolition of existing buildings and erection of 4 new residential dwellings (5-bedroom terraced houses) fronting Burntwood Lane and one new residential dwelling (2-bedroom detached house)) to the rear of the site with associated landscaping, cycle and refuse storage. [Additional information provided]",,7,Burntwood Lane,London,SW17 0JY,,,,,5,0,5,,,Approved,21/06/2023,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/5270
71704/APP/2023/1169,Hillingdon,20/04/2023,Approved,All Other,"Demolition of existing garages and outbuilding, construction of 2 semi-detached dwellings with gardens to front and rear including off-street car parking",Garage Court Adjacent to,,28 ASH GROVE,,UB9 6EX,,,,,2,0,2,,,Approved,21/07/2023,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=71704/APP/2023/1169
221663,Waltham Forest,15/06/2022,Approved,All Other,"Demolition of existing garages and construction of one two storey dwellinghouse (1x1-bed) (Use Class C3) with associated hard and soft landscaping, boundary walls, bicycle parking and refuse/recycling storage to front.","Garages Adjacent No 2a Eldon Road,",,,,,,,,,1,0,1,,,Approved,17/08/2023,,,
23/00991/FULL2,Bromley Custodian Code,03/04/2023,Approved,All Other,Demolition of front bay window and porch. Erection of single storey front extension and conversion of existing 2x self-contained flats into single dwellinghouse.,,250,Crofton Road,,BR6 8JQ,,,,,1,2,-1,,,Approved,05/06/2023,,,
